"???? ??????,??? ???????????,""??????, ??."",?????,????? ????,??????,???????,????????,????????"
"04/19/2022,MTLR ,27 973,""684 122 134,26"",115.58,119.4,109.11,120.85,117.61"
"04/18/2022,MTLR ,28 955,""616 826 779,27"",123.96,124.41,118.08,128.47,119.55"
"04/15/2022,MTLR ,29 099,""660 584 947,31"",119.86,119,115,123.75,122.78"
"04/14/2022,MTLR ,72 257,""1 338 023 912,78"",127.06,129,118.5,131.9,120.1"
"04/13/2022,MTLR ,102 115,""1 883 200 922,13"",125.14,121.2,120.03,129.5,127.67"
"04/12/2022,MTLR ,43 581,""805 152 707,85"",113.02,112.6,107.01,120,120"
"04/11/2022,MTLR ,65 857,""988 332 593,72"",109.67,104.04,102.4,113,110.99"
"04/08/2022,MTLR ,28 284,""390 312 366,37"",103.71,104.39,101,106.3,102.36"
"04/07/2022,MTLR ,25 872,""374 064 743,63"",103.42,101.67,100.6,105.67,103.45"
"04/06/2022,MTLR ,26 084,""383 107 771,32"",100.13,96.64,92,103,100"
"04/05/2022,MTLR ,28 766,""416 995 235,69"",98.68,102.11,95.11,102.9,97.44"
"04/04/2022,MTLR ,23 894,""391 220 955,46"",102.41,103.05,99.6,106,102.73"
"04/01/2022,MTLR ,38 595,""648 429 077,87"",102.73,103.5,99.1,106.82,103"
"03/31/2022,MTLR ,44 216,""792 884 260,52"",101.69,95.05,95.01,104.82,102.44"
"03/30/2022,MTLR ,28 255,""501 619 071,86"",91.52,85.72,85.01,95.5,93.2"
"03/29/2022,MTLR ,40 404,""663 090 361,15"",84.74,77.65,75.01,89.99,82.9"
"03/28/2022,MTLR ,47 890,""801 405 568,93"",78.99,87.8,71.21,100.1,76.28"
03/25/2022,MTLR ,0,-,83.3,-,-,-,82.84
03/24/2022,MTLR ,0,-,-,-,-,-,82.84
03/23/2022,MTLR ,0,-,-,-,-,-,82.84
"08/30/2024,MTLR ,191 678,""9 182 023 140,21"",106.31,105.9,102.55,110,107.44"
"08/29/2024,MTLR ,202 454,""9 779 564 997,63"",102.6,100.6,98.32,110.42,104.02"
"08/28/2024,MTLR ,184 675,""9 477 464 589,66"",101.4,105.8,97.5,106.3,101.4"
"08/27/2024,MTLR ,172 379,""7 825 836 587,88"",108.78,113.87,105.15,113.87,107.66"
"08/26/2024,MTLR ,205 636,""9 487 240 118,71"",113.36,119.23,110.2,123.98,111.93"
"08/23/2024,MTLR ,378 540,""18 234 893 328,57"",111.96,120.6,103.48,121.2,108.39"
"08/22/2024,MTLR ,309 163,""13 528 260 247,26"",128.91,131.6,119.8,136.98,122.21"
"08/21/2024,MTLR ,113 383,""4 219 844 687,77"",134.07,137.53,131.1,138.87,132.35"
"08/20/2024,MTLR ,106 148,""3 826 487 303,39"",139.25,142.12,136.54,143.41,137.67"
"08/19/2024,MTLR ,107 061,""3 784 999 140,66"",144.11,149.06,139.53,149.72,139.56"
"08/16/2024,MTLR ,47 689,""1 701 922 681,31"",149.01,150.29,148,151.2,148.58"
"08/15/2024,MTLR ,54 527,""1 794 216 737,84"",151.36,152.23,150,153.8,150.64"
"08/14/2024,MTLR ,81 400,""2 829 105 503,77"",155.62,156.86,150.71,159.8,151.97"
"08/13/2024,MTLR ,63 141,""1 871 270 610,83"",155.7,154.52,153.09,157.97,156.19"
"08/12/2024,MTLR ,77 060,""2 790 205 946,76"",151.77,150.98,148.52,154.98,152.64"
"08/09/2024,MTLR ,62 992,""2 086 994 069,02"",150.97,152,149.4,153.01,150.64"
"08/08/2024,MTLR ,105 585,""3 964 018 310,52"",154.96,156.72,150.72,158.4,153.56"
"08/07/2024,MTLR ,142 371,""5 504 968 772,4"",152.48,150.51,145,159.62,158.59"
"08/06/2024,MTLR ,119 365,""4 046 358 680,27"",150.64,152.6,146.28,156.1,148.44"
"08/05/2024,MTLR ,115 651,""3 488 559 298,28"",155.96,162.45,150.75,162.8,153.15"
"07/05/2024,MTLR ,62 353,""2 270 083 646,6"",211.65,207.4,204.73,215.95,215.04"
"07/04/2024,MTLR ,84 679,""2 125 251 571,72"",207.63,210.53,204.25,210.86,207.68"
"07/03/2024,MTLR ,55 063,""2 358 642 777,23"",215.95,217.15,211.01,219.9,212.2"
"07/02/2024,MTLR ,31 254,""746 054 441,99"",217.92,219.2,216.76,219.24,217.55"
"07/01/2024,MTLR ,27 199,""1 001 860 677,79"",218.24,218.15,217.71,219.57,218.2"
"06/28/2024,MTLR ,33 893,""1 139 989 467,41"",218.06,217.53,216.02,220,218.09"
"06/27/2024,MTLR ,53 406,""2 080 161 884,24"",219.1,224.28,216.7,224.75,218"
"06/26/2024,MTLR ,28 713,""1 084 134 647,66"",223.12,223.39,219.88,225.64,223.78"
"06/25/2024,MTLR ,30 229,""1 199 479 568,52"",221.5,221.7,219.53,224.22,222"
"06/24/2024,MTLR ,17 396,""491 543 229,32"",222.65,223.08,220.78,224.77,222.47"
"06/21/2024,MTLR ,36 868,""1 259 729 091,87"",225.75,226.46,221.65,228.49,224.15"
"06/20/2024,MTLR ,52 173,""1 416 598 887,32"",221.91,218.05,217.33,226,224.43"
"06/19/2024,MTLR ,44 514,""1 500 591 839,58"",220.12,222.58,216.59,224.44,218"
"06/18/2024,MTLR ,36 379,""1 685 281 189,9"",224.24,226,219.46,227.41,223.27"
"06/17/2024,MTLR ,39 021,""1 333 611 595,32"",229.75,229.5,225.24,233.96,227.84"
"06/14/2024,MTLR ,36 031,""1 110 784 311,08"",226.68,227.04,223.05,230.46,227.8"
"06/13/2024,MTLR ,53 023,""1 977 860 983,06"",220.76,214.24,201.9,229,227.49"
"06/11/2024,MTLR ,77 783,""2 941 821 433,79"",221.49,226.2,217.45,226.78,223.85"
"06/10/2024,MTLR ,66 995,""2 686 942 800,87"",232.23,231.49,223.23,236.69,227.87"
"06/07/2024,MTLR ,51 078,""1 964 474 398,26"",229.33,227.73,226.61,231.49,227.82"
"06/06/2024,MTLR ,80 977,""3 444 688 100,33"",228.47,228.66,225,231.75,227.8"
"06/05/2024,MTLR ,130 782,""7 160 031 337,97"",225.71,218.66,217.67,229.99,229.55"
"06/04/2024,MTLR ,53 801,""1 918 032 080,84"",217.02,216.78,214.08,220.97,217.57"
"06/03/2024,MTLR ,76 024,""2 940 559 264,07"",212.56,216,206.27,219,214.09"
"05/31/2024,MTLR ,50 329,""1 770 485 086,99"",220.18,223,214.8,226.85,216.7"
"05/30/2024,MTLR ,57 331,""1 935 910 840,15"",226.19,227.8,220.1,233.33,225"
"05/29/2024,MTLR ,57 075,""1 718 220 050,25"",221.65,220,216.74,229.23,224.79"
"05/28/2024,MTLR ,82 437,""2 838 947 113,96"",220.9,216,214.02,225.35,220.69"
"05/27/2024,MTLR ,77 098,""3 047 405 846,87"",219.05,227,212.2,228.39,214.28"
"05/24/2024,MTLR ,49 581,""1 718 014 705,38"",229.71,234.7,225.86,235.5,230.2"
"05/23/2024,MTLR ,54 029,""1 753 193 329,22"",235.24,238.93,230.98,239.69,236.13"
"05/22/2024,MTLR ,40 696,""1 496 233 795,89"",242.85,243.9,238.1,245.99,241"
"05/21/2024,MTLR ,52 272,""1 788 596 190,34"",240.26,240.97,235.1,244.25,243.97"
"05/20/2024,MTLR ,50 711,""1 399 216 808,52"",243.88,248.36,241.45,248.54,242.11"
"05/17/2024,MTLR ,27 287,""733 502 745,13"",248.12,250,246.41,250.14,248.01"
"05/16/2024,MTLR ,28 658,""911 759 123,1"",249.99,252.19,247.77,252.69,249.29"
"05/15/2024,MTLR ,48 802,""1 088 828 559,89"",251.44,249.22,248.39,252.78,251.1"
"05/14/2024,MTLR ,51 037,""1 342 287 116,16"",249.03,252.46,247.4,253.42,249.29"
"05/13/2024,MTLR ,99 804,""3 540 610 220,26"",256.54,257.3,250.66,262.26,253.2"
"05/10/2024,MTLR ,87 643,""3 012 154 958,02"",251.89,245.44,245.34,256.96,254.81"
"05/08/2024,MTLR ,21 790,""653 833 004,6"",245.41,246,244.16,246.79,245.3"
"05/07/2024,MTLR ,29 353,""989 718 056,69"",245.77,245.9,242.64,247.34,246.33"
"05/06/2024,MTLR ,33 537,""1 246 131 712,68"",245.99,244.9,244,247.77,245.91"
"05/03/2024,MTLR ,51 555,""2 124 054 974,79"",245.13,243.48,242.41,247.66,245.43"
"05/02/2024,MTLR ,84 469,""2 815 126 214,96"",246.47,251.3,241.1,253.99,242.1"
"04/30/2024,MTLR ,46 304,""1 732 779 391,96"",253.6,257.22,251.05,257.49,253.54"
"04/29/2024,MTLR ,70 133,""2 720 352 745,64"",258.46,264.99,255.53,265.19,256.95"
"04/27/2024,MTLR ,44 653,""1 955 163 106,56"",264.75,267.9,262.11,268.49,264.99"
"04/26/2024,MTLR ,28 418,""1 005 328 013,66"",268.52,267.91,267,270.3,268"
"04/25/2024,MTLR ,38 831,""1 210 612 807,33"",269.81,273,267.5,274.29,267.53"
"04/24/2024,MTLR ,57 691,""2 401 816 124,15"",271.78,269.11,266.25,274.84,273.07"
"04/23/2024,MTLR ,40 072,""1 237 893 520,64"",270.69,272.27,269,273.9,269.5"
"04/22/2024,MTLR ,30 056,""1 028 997 518,49"",273.81,274.51,271.5,275.94,272.27"
"04/19/2024,MTLR ,34 334,""977 951 051,98"",274.43,272,271.23,276.8,274.2"
"04/18/2024,MTLR ,38 749,""1 127 686 635,24"",272.48,274.1,271.01,276.42,272.2"
"04/17/2024,MTLR ,46 202,""1 359 576 891,71"",274.62,276.74,272,277.99,275"
"04/16/2024,MTLR ,25 625,""863 454 366,62"",277.77,278.97,275.96,280.13,276.63"
"04/15/2024,MTLR ,45 862,""1 273 145 581,03"",276.89,277.88,274.5,279.4,278.6"
"04/12/2024,MTLR ,48 901,""1 527 671 711,53"",278.13,280.11,276.67,281.35,277.75"
"04/11/2024,MTLR ,34 486,""1 142 924 134,67"",281.34,284.09,279.35,284.09,"
"04/10/2024,MTLR ,36 422,""1 336 080 933,31"",281.99,281,278.55,284.5,282.5"
"04/09/2024,MTLR ,36 142,""1 224 488 513,51"",283.45,286,280.73,286.47,281.85"
"04/08/2024,MTLR ,30 762,""986 174 480,27"",285.85,284.47,284.07,287.9,285.76"
"04/05/2024,MTLR ,45 703,""1 683 697 553,5"",283.99,283.45,279.27,287.87,285.49"
